Code;Channel Quality;BER;Total Bits;Total Bit Errors;Total blocks;Average Errors per Block
Reed Solomon;GOOD;0,0003;2884560;887;1414;0,6272984441301273
Reed Solomon;GOOD;0,0003;2884560;876;1414;0,6195190947666195
Reed Solomon;GOOD;0,0003;2884560;906;1414;0,6407355021216408
Reed Solomon;GOOD;0,0003;2884560;815;1414;0,5763790664780764
Reed Solomon;GOOD;0,0003;2884560;820;1414;0,57991513437058
Reed Solomon;GOOD;0,0003;2884560;862;1414;0,6096181046676096
Reed Solomon;GOOD;0,0003;2884560;857;1414;0,6060820367751061
Reed Solomon;GOOD;0,0003;2884560;870;1414;0,6152758132956153
Reed Solomon;GOOD;0,0003;2884560;890;1414;0,6294200848656294
Reed Solomon;GOOD;0,0003;2884560;867;1414;0,6131541725601132
Reed Solomon;GOOD;0,0003;2884560;852;1414;0,6025459688826026
Reed Solomon;GOOD;0,0003;2884560;855;1414;0,6046676096181046
Reed Solomon;GOOD;0,0003;2884560;825;1414;0,5834512022630834
Reed Solomon;GOOD;0,0003;2884560;843;1414;0,5961810466760962
Reed Solomon;GOOD;0,0003;2884560;852;1414;0,6025459688826026
Reed Solomon;GOOD;0,0003;2884560;905;1414;0,64002828854314
Reed Solomon;GOOD;0,0003;2884560;833;1414;0,5891089108910891
Reed Solomon;GOOD;0,0003;2884560;857;1414;0,6060820367751061
Reed Solomon;GOOD;0,0003;2884560;835;1414;0,5905233380480905
Reed Solomon;GOOD;0,0003;2884560;877;1414;0,6202263083451203
Reed Solomon;GOOD;0,0003;2884560;831;1414;0,5876944837340877
Reed Solomon;GOOD;0,0003;2884560;910;1414;0,6435643564356436
Reed Solomon;GOOD;0,0003;2884560;792;1414;0,5601131541725601
Reed Solomon;GOOD;0,0003;2884560;848;1414;0,5997171145685997
Reed Solomon;GOOD;0,0003;2884560;880;1414;0,6223479490806223
Reed Solomon;GOOD;0,0003;2884560;818;1414;0,5785007072135785
Reed Solomon;GOOD;0,0003;2884560;863;1414;0,6103253182461104
Reed Solomon;GOOD;0,0003;2884560;830;1414;0,5869872701555869
Reed Solomon;GOOD;0,0003;2884560;914;1414;0,6463932107496464
Reed Solomon;GOOD;0,0003;2884560;875;1414;0,6188118811881188
Reed Solomon;GOOD;0,0003;2884560;844;1414;0,5968882602545968
