Code;Channel Quality;BER;Total Bytes;Total Byte Errors;Total blocks;Average Errors per Block
Reed Solomon;BAD;0,02;354960;52650;1392;37,82327586206897
Reed Solomon;BAD;0,02;354960;53002;1392;38,076149425287355
Reed Solomon;BAD;0,02;354960;52890;1392;37,99568965517241
Reed Solomon;BAD;0,02;354960;53160;1392;38,189655172413794
Reed Solomon;BAD;0,02;354960;52860;1392;37,974137931034484
Reed Solomon;BAD;0,02;354960;52891;1392;37,99640804597701
Reed Solomon;BAD;0,02;354960;52968;1392;38,05172413793103
Reed Solomon;BAD;0,02;354960;52609;1392;37,79382183908046
Reed Solomon;BAD;0,02;354960;52553;1392;37,75359195402299
Reed Solomon;BAD;0,02;354960;53052;1392;38,11206896551724
Reed Solomon;BAD;0,02;354960;52860;1392;37,974137931034484
Reed Solomon;BAD;0,02;354960;52662;1392;37,831896551724135
Reed Solomon;BAD;0,02;354960;53090;1392;38,139367816091955
Reed Solomon;BAD;0,02;354960;52965;1392;38,04956896551724
Reed Solomon;BAD;0,02;354960;52808;1392;37,9367816091954
Reed Solomon;BAD;0,02;354960;53147;1392;38,180316091954026
Reed Solomon;BAD;0,02;354960;52886;1392;37,992816091954026
Reed Solomon;BAD;0,02;354960;52860;1392;37,974137931034484
Reed Solomon;BAD;0,02;354960;52990;1392;38,06752873563219
Reed Solomon;BAD;0,02;354960;52749;1392;37,894396551724135
Reed Solomon;BAD;0,02;354960;53202;1392;38,2198275862069
Reed Solomon;BAD;0,02;354960;52702;1392;37,860632183908045
Reed Solomon;BAD;0,02;354960;53302;1392;38,291666666666664
Reed Solomon;BAD;0,02;354960;52935;1392;38,02801724137931
Reed Solomon;BAD;0,02;354960;52538;1392;37,742816091954026
Reed Solomon;BAD;0,02;354960;53243;1392;38,2492816091954
Reed Solomon;BAD;0,02;354960;52817;1392;37,94324712643678
Reed Solomon;BAD;0,02;354960;52605;1392;37,79094827586207
Reed Solomon;BAD;0,02;354960;52994;1392;38,070402298850574
Reed Solomon;BAD;0,02;354960;53104;1392;38,14942528735632
Reed Solomon;BAD;0,02;354960;52797;1392;37,928879310344826
Reed Solomon;BAD;0,02;354960;53225;1392;38,236350574712645
Reed Solomon;BAD;0,02;354960;53019;1392;38,088362068965516
Reed Solomon;BAD;0,02;354960;53454;1392;38,400862068965516
Reed Solomon;BAD;0,02;354960;52932;1392;38,025862068965516
Reed Solomon;BAD;0,02;354960;53021;1392;38,08979885057471
Reed Solomon;BAD;0,02;354960;52536;1392;37,741379310344826
Reed Solomon;BAD;0,02;354960;53013;1392;38,08405172413793
Reed Solomon;BAD;0,02;354960;52721;1392;37,8742816091954
Reed Solomon;BAD;0,02;354960;53135;1392;38,17169540229885
Reed Solomon;BAD;0,02;354960;52864;1392;37,97701149425287
Reed Solomon;BAD;0,02;354960;52796;1392;37,92816091954023
Reed Solomon;BAD;0,02;354960;52986;1392;38,064655172413794
Reed Solomon;BAD;0,02;354960;53083;1392;38,13433908045977
Reed Solomon;BAD;0,02;354960;53304;1392;38,293103448275865
Reed Solomon;BAD;0,02;354960;52930;1392;38,02442528735632
Reed Solomon;BAD;0,02;354960;52816;1392;37,94252873563219
Reed Solomon;BAD;0,02;354960;52770;1392;37,90948275862069
Reed Solomon;BAD;0,02;354960;53102;1392;38,14798850574713
Reed Solomon;BAD;0,02;354960;52740;1392;37,88793103448276
Reed Solomon;BAD;0,02;354960;52541;1392;37,74497126436781
Reed Solomon;BAD;0,02;354960;52944;1392;38,03448275862069
Reed Solomon;BAD;0,02;354960;52860;1392;37,974137931034484
Reed Solomon;BAD;0,02;354960;53086;1392;38,13649425287356
Reed Solomon;BAD;0,02;354960;53359;1392;38,332614942528735
Reed Solomon;BAD;0,02;354960;53104;1392;38,14942528735632
Reed Solomon;BAD;0,02;354960;53188;1392;38,20977011494253
Reed Solomon;BAD;0,02;354960;53170;1392;38,19683908045977
Reed Solomon;BAD;0,02;354960;53111;1392;38,1544540229885
Reed Solomon;BAD;0,02;354960;53135;1392;38,17169540229885
Reed Solomon;BAD;0,02;354960;52807;1392;37,93606321839081
Reed Solomon;BAD;0,02;354960;52974;1392;38,05603448275862
Reed Solomon;BAD;0,02;354960;52849;1392;37,96623563218391
Reed Solomon;BAD;0,02;354960;53191;1392;38,21192528735632
Reed Solomon;BAD;0,02;354960;53028;1392;38,0948275862069
Reed Solomon;BAD;0,02;354960;52923;1392;38,019396551724135
Reed Solomon;BAD;0,02;354960;52926;1392;38,02155172413793
Reed Solomon;BAD;0,02;354960;52875;1392;37,984913793103445
Reed Solomon;BAD;0,02;354960;52883;1392;37,99066091954023
Reed Solomon;BAD;0,02;354960;53031;1392;38,09698275862069
Reed Solomon;BAD;0,02;354960;53000;1392;38,07471264367816
Reed Solomon;BAD;0,02;354960;52689;1392;37,85129310344828
Reed Solomon;BAD;0,02;354960;52749;1392;37,894396551724135
Reed Solomon;BAD;0,02;354960;53200;1392;38,2183908045977
Reed Solomon;GOOD;0,0003;360570;922;1414;0,652050919377652
Reed Solomon;GOOD;0,0003;360570;815;1414;0,5763790664780764
Reed Solomon;GOOD;0,0003;360570;878;1414;0,620933521923621
Reed Solomon;GOOD;0,0003;360570;862;1414;0,6096181046676096
Reed Solomon;GOOD;0,0003;360570;865;1414;0,6117397454031117
Reed Solomon;GOOD;0,0003;360570;803;1414;0,5678925035360679
Reed Solomon;GOOD;0,0003;360570;849;1414;0,6004243281471005
Reed Solomon;GOOD;0,0003;360570;854;1414;0,6039603960396039
Reed Solomon;GOOD;0,0003;360570;847;1414;0,599009900990099
Reed Solomon;GOOD;0,0003;360570;883;1414;0,6244695898161244
Reed Solomon;GOOD;0,0003;360570;875;1414;0,6188118811881188
Reed Solomon;GOOD;0,0003;360570;867;1414;0,6131541725601132
Reed Solomon;GOOD;0,0003;360570;897;1414;0,6343705799151343
Reed Solomon;GOOD;0,0003;360570;872;1414;0,6166902404526167
Reed Solomon;GOOD;0,0003;360570;897;1414;0,6343705799151343
Reed Solomon;GOOD;0,0003;360570;837;1414;0,5919377652050919
Reed Solomon;GOOD;0,0003;360570;817;1414;0,5777934936350778
Reed Solomon;GOOD;0,0003;360570;867;1414;0,6131541725601132
Reed Solomon;GOOD;0,0003;360570;817;1414;0,5777934936350778
Reed Solomon;GOOD;0,0003;360570;864;1414;0,611032531824611
Reed Solomon;GOOD;0,0003;360570;886;1414;0,6265912305516266
Reed Solomon;GOOD;0,0003;360570;882;1414;0,6237623762376238
Reed Solomon;GOOD;0,0003;360570;897;1414;0,6343705799151343
Reed Solomon;GOOD;0,0003;360570;807;1414;0,5707213578500707
Reed Solomon;GOOD;0,0003;360570;871;1414;0,615983026874116
Reed Solomon;GOOD;0,0003;360570;864;1414;0,611032531824611
Reed Solomon;GOOD;0,0003;360570;850;1414;0,6011315417256011
Reed Solomon;GOOD;0,0003;360570;906;1414;0,6407355021216408
Reed Solomon;GOOD;0,0003;360570;862;1414;0,6096181046676096
Reed Solomon;GOOD;0,0003;360570;847;1414;0,599009900990099
Reed Solomon;GOOD;0,0003;360570;912;1414;0,6449787835926449
Reed Solomon;GOOD;0,0003;360570;880;1414;0,6223479490806223
Reed Solomon;GOOD;0,0003;360570;871;1414;0,615983026874116
Reed Solomon;GOOD;0,0003;360570;854;1414;0,6039603960396039
Reed Solomon;GOOD;0,0003;360570;946;1414;0,669024045261669
Reed Solomon;GOOD;0,0003;360570;852;1414;0,6025459688826026
Reed Solomon;GOOD;0,0003;360570;869;1414;0,6145685997171145
Reed Solomon;GOOD;0,0003;360570;840;1414;0,594059405940594
Reed Solomon;GOOD;0,0003;360570;909;1414;0,6428571428571429
Reed Solomon;GOOD;0,0003;360570;845;1414;0,5975954738330976
Reed Solomon;GOOD;0,0003;360570;870;1414;0,6152758132956153
Reed Solomon;GOOD;0,0003;360570;861;1414;0,6089108910891089
Reed Solomon;GOOD;0,0003;360570;852;1414;0,6025459688826026
Reed Solomon;GOOD;0,0003;360570;895;1414;0,632956152758133
Reed Solomon;GOOD;0,0003;360570;875;1414;0,6188118811881188
Reed Solomon;GOOD;0,0003;360570;913;1414;0,6456859971711457
Reed Solomon;GOOD;0,0003;360570;888;1414;0,628005657708628
Reed Solomon;GOOD;0,0003;360570;883;1414;0,6244695898161244
Reed Solomon;GOOD;0,0003;360570;875;1414;0,6188118811881188
Reed Solomon;GOOD;0,0003;360570;873;1414;0,6173974540311173
Reed Solomon;GOOD;0,0003;360570;869;1414;0,6145685997171145
Reed Solomon;GOOD;0,0003;360570;859;1414;0,6074964639321075
Reed Solomon;GOOD;0,0003;360570;861;1414;0,6089108910891089
Reed Solomon;GOOD;0,0003;360570;885;1414;0,6258840169731259
Reed Solomon;GOOD;0,0003;360570;886;1414;0,6265912305516266
